iter	Passed	Remaining
0	3	3261
1	3	1833
2	3	1322
3	4	1057
4	4	900
5	4	800
6	5	723
7	5	668
8	5	623
9	5	586
10	6	555
11	6	532
12	6	509
13	6	490
14	7	474
15	7	461
16	7	448
17	8	438
18	8	428
19	8	419
20	8	410
21	9	403
22	9	397
23	9	390
24	9	384
25	10	379
26	10	373
27	10	369
28	10	364
29	11	360
30	11	357
31	11	354
32	11	350
33	12	347
34	12	346
35	12	345
36	13	343
37	13	342
38	13	342
39	14	340
40	14	339
41	14	337
42	15	336
43	15	335
44	15	333
45	15	331
46	16	330
47	16	329
48	17	331
49	17	333
50	17	333
51	18	333
52	18	332
53	18	331
54	19	331
55	19	330
56	19	329
57	20	330
58	20	329
59	20	328
60	21	330
61	21	329
62	22	328
63	22	327
64	22	326
65	23	327
66	23	331
67	24	332
68	24	333
69	24	331
70	25	331
71	25	330
72	26	330
73	26	329
74	26	328
75	26	328
76	27	328
77	27	328
78	28	328
79	28	327
80	28	326
81	29	325
82	29	322
83	29	322
84	29	322
85	30	322
86	30	321
87	31	321
88	31	321
89	31	320
90	32	320
91	32	319
92	32	319
93	33	318
94	33	317
95	33	316
96	33	316
97	34	315
98	34	315
99	35	317
100	35	317
101	36	317
102	36	317
103	36	316
104	37	316
105	37	315
106	37	314
107	38	314
108	38	313
109	38	312
110	39	312
111	39	311
112	39	310
113	39	309
114	40	308
115	40	308
116	40	307
117	41	307
118	41	306
119	41	305
120	41	305
121	42	303
122	42	303
123	42	302
124	43	302
125	43	302
126	43	300
127	44	300
128	44	299
129	44	299
130	45	298
131	45	298
132	45	298
133	46	298
134	46	297
135	46	297
136	47	296
137	47	295
138	47	295
139	47	294
140	48	294
141	48	292
142	48	292
143	49	291
144	49	291
145	49	290
146	50	290
147	50	290
148	50	290
149	51	289
150	51	288
151	51	288
152	52	287
153	52	287
154	52	287
155	53	286
156	53	286
157	53	285
158	53	285
159	54	284
160	54	283
161	54	283
162	55	282
163	55	282
164	55	281
165	55	281
166	56	280
167	56	280
168	56	279
169	57	279
170	57	279
171	58	279
172	58	278
173	58	278
174	59	278
175	59	278
176	59	278
177	60	277
178	60	277
179	60	276
180	61	276
181	61	276
182	61	275
183	62	275
184	62	275
185	62	275
186	63	274
187	63	275
188	64	274
189	64	274
190	64	274
191	65	273
192	65	273
193	65	272
194	65	271
195	66	272
196	66	272
197	67	272
198	67	271
199	67	271
200	68	270
201	68	270
202	68	270
203	69	270
204	69	269
205	69	269
206	70	268
207	70	267
208	70	267
209	70	267
210	71	266
211	71	266
212	72	266
213	72	266
214	72	265
215	73	265
216	73	264
217	73	264
218	74	264
219	74	264
220	74	264
221	75	263
222	75	263
223	75	263
224	76	263
225	76	262
226	76	262
227	77	262
228	77	261
229	78	261
230	78	261
231	78	260
232	79	260
233	79	260
234	79	259
235	80	259
236	80	259
237	80	259
238	81	258
239	81	258
240	81	258
241	82	258
242	82	257
243	83	257
244	83	257
245	83	256
246	84	256
247	84	256
248	84	255
249	85	255
250	85	255
251	85	254
252	86	254
253	86	253
254	86	253
255	86	252
256	87	252
257	87	251
258	87	251
259	88	251
260	88	251
261	89	251
262	89	250
263	89	250
264	90	250
265	90	250
266	90	249
267	91	249
268	91	249
269	92	248
270	92	248
271	92	248
272	93	248
273	93	247
274	93	247
275	94	246
276	94	246
277	94	246
278	95	246
279	95	245
280	96	245
281	96	245
282	96	245
283	97	244
284	97	244
285	97	243
286	97	243
287	98	242
288	98	242
289	98	241
290	99	241
291	99	240
292	99	240
293	99	239
294	100	239
295	100	239
296	100	238
297	101	238
298	101	237
299	101	237
300	102	237
301	102	236
302	102	236
303	102	235
304	103	235
305	103	234
306	103	234
